draw,production_kgco2e
112,3813.63564349643
113,4142.059541124205
114,3916.955941944881
115,4092.1029825063097
116,3531.5455088381686
117,4336.555329768942
118,4017.420083256546
119,3647.442920250629
120,4211.924887258598
121,4013.816273785281
122,3831.469897485491
123,4063.7501516753828
124,4307.3791954113985
125,4358.709433511021
126,3976.7746831409154
127,4084.8927802871613
128,4412.190905034086
129,4345.712097432541
130,3672.837521332721
131,3736.6892843218975
132,3917.733240148712
133,3551.7968447839125
134,3799.692721698625
135,4417.126577525306
136,4042.9651910440216
137,3894.012840980541
138,4050.6829761056915
139,4083.7969971870366
140,3789.825625270899
141,4275.779282625376
142,4440.834190604521
143,4630.2355968286065
144,4377.839141000357
145,3815.380057664452
146,4405.886476831354
147,3664.2170892986974
148,4386.406582108012
149,3570.0135668253197
150,3663.6835463442126
151,3676.2498724828984
152,3481.747836049093
153,4141.934825796266
154,3388.880465491005
155,4099.716082341043
156,3676.746057175135
157,4048.4039244434834
158,3583.29143402673
159,3935.106380282932
160,3995.0640418866888
161,4434.89517240144
162,3994.04302824735
163,3801.4087466695064
164,4260.221327806487
165,3622.280245011859
166,3948.6885263760187
167,4357.2573362184485
168,4067.291010998453
169,4167.037999448685
170,4014.8640954124226
171,3270.4207496759273
172,4366.03350409482
173,4092.7111748128373
174,3902.6035507349216
175,3845.9281784868235
176,3883.9960852746303
177,3833.6675684633983
178,4193.481144636422
179,3623.6921509743133
180,4136.031731835117
181,3980.856173816327
182,3762.726220383935
183,4375.609988357172
184,4215.877599911357
185,3591.4518898840306
186,3674.132313805637
187,4268.609383582631
188,3871.1910607191667
189,3951.1620330045184
190,3866.93970349723
191,4248.719838332312
192,3899.68907745633
193,3953.2810687453957
194,3833.6204202653716
195,3833.2273197738277
196,3970.7543213466083
197,4034.2724179774723
198,3921.8323576180114
199,3962.2175533083764
200,3539.11823760056
201,4010.248853855346
202,4050.5327932240607
203,3453.2587240394832
204,4231.905934745992
205,4241.772839460478
206,4155.984300601316
207,3246.3107227405635
208,4414.249468355925
209,4199.977038755151
210,3801.6349488209107
211,4067.4037557892175
212,3985.7937594736068
213,3967.048949547513
214,3699.0125439211633
215,4172.311547106708
216,3906.4755326025424
217,4342.898249897084
218,4226.181223847411
219,3900.6556305648805
220,4271.891720720725
221,4360.316503589818
222,4053.109545511812
223,3342.636457078154
